ocr_char,syllable,n_rows,n_pages,n_books,tiers,char_in_dict,dict_readings_of_char,n_dict_chars_for_syllable,dict_chars_for_syllable,similar_hit,gold_count,verdict,true_char,sample_images
暑,lỗ,1,1,1,REVIEW,True,thử trưa,48,卤 噜 嚕 塷 掳 撸 擄 擼 旅 樐 橹 櫓 氇 氌 滷 澛 瀂 硇 磠 舮,,0,,,
暎,rốn,1,1,1,REVIEW,True,ánh,20,噀 巺 巽 潠 肫 遜 顨 㢲 𠸃 𠸇 𠹀 𢁅 𢁉 𢁌 𢌴 𢍳 𦜞 𦠆 𦡋 󰟱,,2,,,
暍,ngày,1,1,1,REVIEW,True,hát hạt yết,11,ヌ  匕 又 挧 時 㝵 𣈗 𣈜 𣦍 𬏝,,0,,,
暄,nghe,1,1,1,REVIEW,True,hoãn huyên noãn,24,儀 冝 宐 宜 浪 牐 義 賖 㝖 𠖃 𠣨 𠵌 𡧧 𡨆 𡪀 𡪏 𢪀 𣦍 𥪺 𥫃,,0,,,
晷,răng,1,1,1,REVIEW,True,quĩ quỹ ỹ,16, 𲎩 凌 夌 浪 淩 齿 𦝄 𦢠 𪘵 𪤽 𫆢 𬹸 󰌻 󰛈 󱆋,,0,,,
景,và,1,1,1,REVIEW,True,cánh cản cảnh khảnh kiểng kiễng kẻng ngoảnh ngảnh ảnh,17,叵 吧 和 喡 巴 為 頗 𠄧 𡂄 𡝕 𢯓 𢯠 𢽼 𣀟 𩑼 𪽡 𬏓,,1,,,
景,trông,1,1,1,REVIEW,True,cánh cản cảnh khảnh kiểng kiễng kẻng ngoảnh ngảnh ảnh,37,  𱢽 𱼙 朧 矇 矓 祘 筭 算 篭 籠 鐭 𢌺 𥄡 𥉩 𥉫 𥊛 𥪝 𪚤,,1,,,
景,có,1,1,1,REVIEW,True,cánh cản cảnh khảnh kiểng kiễng kẻng ngoảnh ngảnh ảnh,15,世 个 個 古 同 固 堵 故 杏 沛 窖 箇 者 𣎏 󰡏,,1,,,
景,000,1,1,1,REVIEW,True,cánh cản cảnh khảnh kiểng kiễng kẻng ngoảnh ngảnh ảnh,0,,,1,,,
普,lồ,1,1,1,REVIEW,True,phơ phả phổ thế,4,路 露 𡽘 𨱴,,0,,,
晨,đây,1,1,1,REVIEW,True,thì thìn thần,19, 仾 低 假 兜 底 抵 氐 㡳 𠇓 𠉃 𠍪 𢇝 𢇨 𢇹 𢘢 𦀊 𦷾 𩉶,,0,,,
晨,trằng,1,1,1,REVIEW,True,thì thìn thần,0,,,0,,,
晦,ngày,1,1,1,REVIEW,True,hói hối hổi,11,ヌ  匕 又 挧 時 㝵 𣈗 𣈜 𣦍 𬏝,,0,,,
晋,r,1,1,1,REVIEW,True,chình tấn tắn tớn,0,,,0,,,
晋,là,1,1,1,REVIEW,True,chình tấn tắn tớn,31,  𱺵 卥 号 囉 容 廾 時 浪 纙 罗 羅 買 邏 㼈 𢌬 𦉼 𦋝 𦌴,,0,,,
晋,giữ,1,1,1,REVIEW,True,chình tấn tắn tớn,38,𱠎 𰑚 与 佇 咛 啔 宁 守 抒 拧 擰 渚 竚 與 貯 㑏 𡀐 𡦂 𡨸 𡨹,,0,,,
晉,vậy,1,1,1,REVIEW,True,tấn tắn tớn,8,丕 仳 呸 物 特 盃 㔻 𠦓,,0,,,
晉,người,1,1,1,REVIEW,True,tấn tắn tớn,20,仉 倘 儻 勜 匕 命 圤 徜 昆 皚 躺 辞 㝵 𠊚 𠊛 𣈗 𣈜 𤽗 𫴮 󱫱,,0,,,
晉,lô,1,1,1,REVIEW,True,tấn tắn tớn,51,卢 嚕 嚧 垆 壚 廬 攎 枦 栌 櫨 泸 瀘 炉 爐 獹 率 玈 盧 矑 籚,,0,,,
晉,khen,1,1,1,REVIEW,True,tấn tắn tớn,9,  看 㗂 𠰙 𠸦 𪮒 𫽯 𠳦,,0,,,
晉,hôn,1,1,1,REVIEW,True,tấn tắn tớn,32,婚 怋 惛 惽 昏 昬 殙 涽 湣 焄 閽 阍 㖧 㛰 䫒 𡕼 𡕽 𡖀 𡝪 𣄼,,0,,,
晃,là,1,1,1,REVIEW,True,ang hoàng hoáng hoảng khoáng nhoáng quàng quáng,31,  𱺵 卥 号 囉 容 廾 時 浪 纙 罗 羅 買 邏 㼈 𢌬 𦉼 𦋝 𦌴,,0,,,
星,nát,1,1,1,REVIEW,True,ranh tanh tinh tênh,18,捏 掜 揑 撻 涅 湼 湿 濕 㘿 𠽇 𡐘 𢝘 𢯊 𣵀 𦟻 𬄅 󰞺 󰬔,湿 𢝘,11,,,gold/stt4_page_0246_c01_010.png
昜,người,1,1,1,REVIEW,True,dàng dương giang,20,仉 倘 儻 勜 匕 命 圤 徜 昆 皚 躺 辞 㝵 𠊚 𠊛 𣈗 𣈜 𤽗 𫴮 󱫱,,0,,,
族,rừng,1,1,1,REVIEW,True,sộc thấu thốc tấu tọc tộc,9,棱 楞 楼 稜 𡹃 𡼹 𤗷 󱺅 澄,,0,,,
既,đoạn,1,1,1,REVIEW,True,cáy cưới cấy dĩ kí ký,35,断 斷 椴 段 毈 碫 籪 緞 缎 腶 鍛 锻 㫁 𠜷 𠝅 𠡱 𠩻 𠪅 𠸿 𣂢,,0,,,
旦,ấy,1,1,1,REVIEW,True,dán dằng dến thả trán vào đán đản đắn đến,32,𱍸 乙 倚 噫 娎 帝 悥 意 憶 椅 衣 衤 𠂎 𠋣 𠶷 𢡃 𧘇 𪬫 𫢚 󰀎,,536,,,
旦,đời,1,1,1,REVIEW,True,dán dằng dến thả trán vào đán đản đắn đến,7,世 代 匕 圅 𠁀 𫢫 󱏙,,536,,,
旦,đế,1,1,1,REVIEW,True,dán dằng dến thả trán vào đán đản đắn đến,67,啑 啼 嚏 嚔 坻 奃 帝 慸 揥 摕 柢 楴 殢 氐 疐 碲 禘 秪 締 缔,,536,,,
旦,đen,1,1,1,REVIEW,True,dán dằng dến thả trán vào đán đản đắn đến,21,傎 厧 槙 瑱 顚 顛 黫 黰 㒹 𠑘 𠖩 𠫉 𡬅 𪐘 𪐜 𪑳 𪑸 𪓇 𬹙 󱰃,,536,,,
旦,ăn,1,1,1,REVIEW,True,dán dằng dến thả trán vào đán đản đắn đến,6,吿 咹 安 𩛖 𫃀 𫗒,,536,,,
旦,si,1,1,1,REVIEW,True,dán dằng dến thả trán vào đán đản đắn đến,99,嗟 嗤 妛 媸 差 希 彨 彲 徙 抬 摛 柴 殦 灑 痴 瘥 癡 眵 瞝 知,,536,,,
旦,mươi,1,1,1,REVIEW,True,dán dằng dến thả trán vào đán đản đắn đến,13, 辻 迈 邁 𠦩 𠦳 𨑮 𨒒 𪜚 𫡭 󰁰 󱜜 󱞥,,536,,,
旦,cùng,1,1,1,REVIEW,True,dán dằng dến thả trán vào đán đản đắn đến,44,供 共 其 塘 廾 弯 強 拱 拲 珙 穷 穹 窮 竆 藭 蛩 蛬 邛 䓖 䠻,,536,,,
旦,còn,1,1,1,REVIEW,True,dán dằng dến thả trán vào đán đản đắn đến,15, 哙 喂 噲 存 羣 群 自 䭽 𠹩 𡥵 𫲳 󰅹 󱟟 󱫦,自,536,,,gold/stt2_page_0082_c05_090.png
日,ở,1,1,1,REVIEW,True,bạch nhạt nhật nhặt nhờn nhựt tịn,20,唹 扵 於 正 烏 菸 默 𠾕 𣄒 𣱏 𤋬 𤕘 𫵦 󰛢 󱳍 過 𠵩 𡁎 𢷣 𧿨,,3,,,
日,rô,1,1,1,REVIEW,True,bạch nhạt nhật nhặt nhờn nhựt tịn,11,噜 嚕 魲 鮋 鯈 鱸 𩼁 𩽬 𫙔 𬠩 󱅫,,3,,,
既,đã,1,1,1,REVIEW,True,cáy cưới cấy dĩ kí ký,16,乑 也 卒 吏 吔 它 拖 易 胣 諸 陀 㐌 𠰹 𢒕 𣦁 𧭷,,0,,,
既,rửa,1,1,1,REVIEW,True,cáy cưới cấy dĩ kí ký,10, 洗 瀉 𣳮 𣷱 𤀗 𤂩 𪡉 𫼴 󱧢,,0,,,
易,để,1,1,1,REVIEW,True,di diệc dẹ dẻ dẽ dể dễ dị dịch dịu kẻ lễ,66,低 厎 呧 坻 帝 底 弤 悌 扺 抵 拞 掋 提 柢 氐 牴 的 砥 羝 舐,,17,,,
既,nhiều,1,1,1,REVIEW,True,cáy cưới cấy dĩ kí ký,18, 堯 嬈 澆 蜫 迻 饒 𡗉 𡗊 𤄮 𩜙 𬲢 𬼀 󰕦 󰕩 󰕭 󰞬 󰬥,,0,,,
既,ngón,1,1,1,REVIEW,True,cáy cưới cấy dĩ kí ký,15,𱠅 刓 抏 翫 阮 𢭫 𢯥 𢴝 𦰟 𪮀 𫆻 𬩋 󰇽 󰣴 󱣅,,0,,,
既,một,1,1,1,REVIEW,True,cáy cưới cấy dĩ kí ký,37,        𱥺 刎 圽 堆 墓 更 歾 歿 殁 殳 沒 没,,0,,,
既,hay,1,1,1,REVIEW,True,cáy cưới cấy dĩ kí ký,23, 処 台 呍 咍 唭 熊 特 竜 而 耐 能 螚 䏻 𠄩 𣕘 𦝕 𫧇 𫨩 󰀉,,0,,,
既,5,1,1,1,REVIEW,True,cáy cưới cấy dĩ kí ký,0,,,0,,,
无,chịu,1,1,1,REVIEW,True,mô vô,8,受 召 邵 𠮥 𠮦 𠹾 𠺥 𥃝,,0,,,
旛,soi,1,1,1,REVIEW,True,phan phiên phiến phướn,19,搊 擂 攂 洡 芁 雷 㵢 䣂 𢐝 𢬗 𢹮 𢺢 𤐝 𥋸 𪤠 𬧾 󰅈 󱈗 󱧽,,0,,,
旗,nhường,1,1,1,REVIEW,True,cờ kì kỳ,12,攘 羕 譲 讓 𢭗 𢺖 𣀮 𣤸 𣤽 𥀶 𦦬 𧮨,,0,,,
旗,mua,1,1,1,REVIEW,True,cờ kì kỳ,24,嗼 摸 摹 桙 模 橅 謨 謩 譕 𠻚 𡃗 𡆶 𡘲 𢜯 𢱖 𢺀 𣝶 𤏠 𧷸 󰀴,,0,,,
族,đường,1,1,1,REVIEW,True,sộc thấu thốc tấu tọc tộc,49, 𱻌 傏 又 唐 啺 坣 堂 塘 墻 搪 摚 棠 榶 樘 溏 煻 瑭 當 穷,,0,,,
族,tròi,1,1,1,REVIEW,True,sộc thấu thốc tấu tọc tộc,1,𠱤,,0,,,
族,sói,1,1,1,REVIEW,True,sộc thấu thốc tấu tọc tộc,18,狤 猾 獪 磊 磥 礌 耒 藞 㰁 㹟 𡾷 𤞖 𤢗 𤢿 𥗉 𥗬 𩯹 𪻆,,0,,,
旧,chay,1,1,1,REVIEW,True,cậu cựu,32,亝 夈 斉 斊 斋 斎 粂 齊 齋 齐 㪰 䄢 䬩 𠆈 𠫱 𠫸 𠫼 𠮘 𡄡 𡕓,,0,,,
旧,nói,1,1,1,REVIEW,True,cậu cựu,14,內 内 叻 吶 呐 唁 尼 曰 訥 㐻 㕯 𠺶 𡗠 𧨣,,0,,,
早,ngày,1,1,1,REVIEW,True,chảo tảo,11,ヌ  匕 又 挧 時 㝵 𣈗 𣈜 𣦍 𬏝,㝵,0,,,
早,ti,1,1,1,REVIEW,True,chảo tảo,58,丝 伺 俾 偲 凘 卑 司 咝 咨 啤 嗞 嗣 噝 婢 師 思 撕 斯 朇 澌,,0,,,
易,đầy,1,1,1,REVIEW,True,di diệc dẹ dẻ dẽ dể dễ dị dịch dịu kẻ lễ,16,台 提 柴 箈 苔 菭 薹 䈚 𠫅 𠫆 𣹓 𧀟 𨃐 𪞅 󰐗 󰮙,,17,,,
易,so,1,1,1,REVIEW,True,di diệc dẹ dẻ dẽ dể dễ dị dịch dịu kẻ lễ,44,刳 嚧 抠 挎 捈 推 搊 摳 攄 棊 樞 毆 牢 粗 芻 蒭 趍 趣 趨 跢,,17,,,
易,dê,1,1,1,REVIEW,True,di diệc dẹ dẻ dẽ dể dễ dị dịch dịu kẻ lễ,19,乁 喈 扡 牴 移 羝 迻 䄬 𡖰 𢼏 𥞀 𥟻 𦍝 𦍞 𦍫 𦍿 𧚕 𫅕 𮊭,,17,,,
易,chịu,1,1,1,REVIEW,True,di diệc dẹ dẻ dẽ dể dễ dị dịch dịu kẻ lễ,8,受 召 邵 𠮥 𠮦 𠹾 𠺥 𥃝,,17,,,
昏,hiền,1,1,1,REVIEW,True,hon hun hôn mẫn,12,嫌 玹 痃 礥 臤 賢 贒 贤 䝨 𠤕 𪬡 迒,,7,,,
明,nói,1,1,1,REVIEW,True,bằng minh miêng mênh mình mừng thanh,14,內 内 叻 吶 呐 唁 尼 曰 訥 㐻 㕯 𠺶 𡗠 𧨣,,88,,,
明,mưng,1,1,1,REVIEW,True,bằng minh miêng mênh mình mừng thanh,22,冥 暝 杧 溟 瞑 笀 芒 㝠 㫥 䅒 䆩 𠕾 𠖇 𡨋 𡨕 𡨶 𣩆 𥝕 𥦏 𥦴,,88,,,
明,mùng,1,1,1,REVIEW,True,bằng minh miêng mênh mình mừng thanh,10,夢 幪 曚 濛 蒙 㡝 𢄐 𦆟 𧅭 𬟃,,88,,,
明,hồ,1,1,1,REVIEW,True,bằng minh miêng mênh mình mừng thanh,68,乎 和 壶 壺 壼 弧 摢 核 楜 沍 湖 烀 煳 狐 猢 瑚 瓠 瓡 着 糊,,88,,,
明,dòng,1,1,1,REVIEW,True,bằng minh miêng mênh mình mừng thanh,7,匇 同 用 𡛾 𣳔 𨦩 𬗝,,88,,,
昌,khấn,1,1,1,REVIEW,True,sướng xang xương xướng xắng xẳng xẵng ướt,13,哏 很 恳 懇 豤 貇 𡄩 𡓚 𢡆 𢢽 𧩺 𭝫 裉,,4,,,
昇,đi,1,1,1,REVIEW,True,thăng thưng,10, 多 岃 移 跢 迻 𠫾 𨀕 𪠞 𫺲,,0,,,
昇,vâng,1,1,1,REVIEW,True,thăng thưng,18,ㇶ 埄 峀 挷 邦 邫 䢶 𠰩 𠳐 𡶚 𢀥 𤰫 𨚚 𨚜 𨚦 𨛁 𨛝 𨛟,𢀥,0,,,gold/stt4_page_0068_c08_182.png
昇,mẹ,1,1,1,REVIEW,True,thăng thưng,9,姆 媄 憽 毋 母 美 袄 那 㜫,,0,,,
昇,mà,1,1,1,REVIEW,True,thăng thưng,21, 傌 嘛 女 痳 罵 菻 蔴 調 駡 高 麻 默 𢠩 𢳀 𣻕 𦋻 𦓡 𦲬 󱰷,,0,,,
昇,la,1,1,1,REVIEW,True,thăng thưng,46,𱺵 儸 啰 囉 囖 攎 攞 椤 欏 猡 玀 箩 籮 纙 罗 羅 萝 蘿 覶 覼,,0,,,
昆,non,1,1,1,REVIEW,True,bò con côn gon hỗn người,21,  𱛩 媆 嫩 嫰 山 筃 㜛 𡁛 𡄨 𡞾 𡽫 𤯦 𤯯 𦠫 𧀒 󰝶 󰟓 󱜏,,258,,,
昆,công,1,1,1,REVIEW,True,bò con côn gon hỗn người,30,公 功 工 彸 扛 攻 灨 糼 紅 翁 蚣 蜙 釭 㒶 㓚 㓛 㣉 䲨 䲲 𠜝,,258,,,
昂,người,1,1,1,REVIEW,True,ngang ngàng ngáng ngãng,20,仉 倘 儻 勜 匕 命 圤 徜 昆 皚 躺 辞 㝵 𠊚 𠊛 𣈗 𣈜 𤽗 𫴮 󱫱,昆 㝵,3,,,
时,đói,1,1,1,REVIEW,True,thì thời,9,对 対 對 肁 𠲝 𡭊 𩛜 𩟡 󱤻,对,1,,,
时,trối,1,1,1,REVIEW,True,thì thời,6,誄 讄 䛶 𠲝 𠶡 𡂳,,1,,,
时,trá,1,1,1,REVIEW,True,thì thời,35,假 吒 咋 咤 奓 搾 榨 溠 痄 窄 笮 舴 苲 虴 蚱 蜡 詐 诈 酢 醡,,1,,,
时,rồi,1,1,1,REVIEW,True,thì thời,7,來 来 洡 符 耒 𬩧 󱫵,,1,,,
时,a,1,1,1,REVIEW,True,thì thời,118,丫 了 亜 亞 兮 呀 呵 哑 啊 啞 嗄 堊 妸 娿 婀 婐 婭 客 屙 惡,过,1,,,
旱,su,1,1,1,REVIEW,True,hãn hạn khan,11,樞 秋 毹 毺 穌 芇 芻 蒭 蘇 蘓 㮲,,0,,,
楉,gạo,1,1,1,REVIEW,True,nhược,16,杲 梏 槔 槹 檤 檰 欕 㫧 㰃 𣓌 𣜦 𥺊 𥽌 𨢇 𬖰 檼,梏,0,,,gold/stt2_page_0024_c06_123.png
楚,lại,1,1,1,REVIEW,True,sở sỡ,55,使 來 俫 倈 勑 厉 厲 又 叓 右 叹 吏 嬾 尼 徕 徠 懒 懶 束 濑,,0,,,
收,nhớ,1,1,1,REVIEW,True,dũ tho thu thua thâu thò thú,11,仌 女 汝 洳 渚 𠯆 𢖵 𢘾 𪡑 𫺈 𬈋,,14,,,
浸,răng,1,1,1,REVIEW,True,dầm giặm rẫm sậm sặm thâm thấm trạm trẫm tẩm tắm xâm,16, 𲎩 凌 夌 浪 淩 齿 𦝄 𦢠 𪘵 𪤽 𫆢 𬹸 󰌻 󰛈 󱆋,,1,,,
涯,nước,1,1,1,REVIEW,True,day nha nhai nhoài nhây nhười nhầy rười rượi,13, 匿 國 娘 搩 於 渃 珠 箸 著 𣋐 𣥧 𫭔,,0,,,
涯,càng,1,1,1,REVIEW,True,day nha nhai nhoài nhây nhười nhầy rười rượi,17,乾 亘 岡 強 强 彊 犟 綱 𢏟 𣚦 𥆁 𧈧 𧖑 𪨈 𫋙 𮜓 󱢥,,0,,,
涙,kê,1,1,1,REVIEW,True,lệ lụy,37,乩 卟 咭 峜 嵆 嵇 枅 溪 稽 笄 筓 筭 計 计 雞 鳮 鶏 鷄 鸡 䈕,,0,,,
涖,sữa,1,1,1,REVIEW,True,lị rỉ rị,8,吕 𣳪 𣷱 𣷲 𫶷 󱏛 󱙆 󱟡,,0,,,
涕,nước,1,1,1,REVIEW,True,di dí dề dỉ rì thía thế đề,13, 匿 國 娘 搩 於 渃 珠 箸 著 𣋐 𣥧 𫭔,渃,0,,,gold/stt11_page_0228_c07_138.png
涉,phải,1,1,1,REVIEW,True,thiệp trắc,30,仕 伂 塊 折 拜 拝 朝 沛 派 芾 霈 㳈 𡴬 𢪙 𢫶 𢮠 𢰛 𢱭 𢳎 𢴽,,0,,,
消,quen,1,1,1,REVIEW,True,teo tiu tiêu tỏe,18,悁 慣 懁 捐 摜 毌 涓 貫 鋗 㳙 䝺 𢛋 𢞈 𢿒 𧨜 𧵗 𪡵 𬙿,,0,,,
消,học,1,1,1,REVIEW,True,teo tiu tiêu tỏe,13,  学 學 教 斅 斈 鹤 𡕕 𢻯 𭓇 峃 嶨,,0,,,
消,chớ,1,1,1,REVIEW,True,teo tiu tiêu tỏe,19, 咀 啫 渚 濐 籒 著 陼 㵭 䐗 𠤆 𠤌 𠹲 𣜾 𤀞 𤈪 著 󱉟 󱧥,,0,,,
涅,nhát,1,1,1,REVIEW,True,nhít nhẹt niết nát nét nít nạt nết nớt nức,12,剌 妲 戛 戞 拮 痢 瘌 癩 胳 鬎 㦉 𤷫,,15,,,
涂,thờ,1,1,1,REVIEW,True,dơ dừ sờ trờ đồ đờ,25,𰨂 俆 徐 悇 扵 承 於 烏 祀 祠 蜍 蠩 賒 踈 除 䜹 𠄜 𣱏 𤋬 𤕘,俆 徐 悇 蜍 除 𠄜,0,,,
浸,vậy,1,1,1,REVIEW,True,dầm giặm rẫm sậm sặm thâm thấm trạm trẫm tẩm tắm xâm,8,丕 仳 呸 物 特 盃 㔻 𠦓,,1,,,
浸,do,1,1,1,REVIEW,True,dầm giặm rẫm sậm sặm thâm thấm trạm trẫm tẩm tắm xâm,29,伷 凷 宙 尤 揂 楢 犹 猶 猷 由 甴 繇 茜 莸 蕕 蚰 謠 逌 鈾 铀,,1,,,
浦,bỏ,1,1,1,REVIEW,True,bồ bổ phố phổ,18,哺 怖 悑 抪 捕 补 補 䋠 𠬃 𠬕 𠬖 𢒏 𢼹 𥙷 𥸨 󱉿 󱣎 鮑,哺 捕,0,,,
海,nuôi,1,1,1,REVIEW,True,hái hây hơi hải hấy hẩy,20,哸 娞 挼 捰 捼 浽 腇 芮 隋 餒 餧 𩝺 𩟼 𬛠 𬯜 󰬨 󱚈 󱟎 󱰐 󱸞,,0,,,
海,mu,1,1,1,REVIEW,True,hái hây hơi hải hấy hẩy,11,仫 摹 桙 模 橅 謨 𡆶 𡘲 𣝶 𤏠 哞,,0,,,
海,concu,1,1,1,REVIEW,True,hái hây hơi hải hấy hẩy,0,,,0,,,
浴,tăm,1,1,1,REVIEW,True,dục,16,吢 吣 唏 唚 心 杺 沁 籖 籤 芯 䈜 𢙈 𣅵 𨠉 󱤢 籥,,0,,,
浮,ra,1,1,1,REVIEW,True,nổi phù,37,    𱜂 出 加 囉 囖 威 廾 歯 羅 群 蔞 𠚢 𦉼 𦋦 𪜀 𪞷,,1,,,
浮,quan,1,1,1,REVIEW,True,nổi phù,80,  倌 光 关 冠 官 寡 慣 棺 毌 涫 瘝 癏 矜 綸 纶 覌 観 觀,,1,,,
浮,dơ,1,1,1,REVIEW,True,nổi phù,22,凃 唋 塗 悇 抒 拁 汿 沀 泇 洳 涂 滁 途 除 餘 𠀺 𡌘 𢣿 𣹤 𦝔,抒 汿,1,,,
浪,văng,1,1,1,REVIEW,True,dằng khi lang là láng lãng lăng lảng lắng lẳng lặng lửng,18,仌 冫 冰 凝 挷 搒 栄 榮 氷 永 滎 荣 邦 㨲 㩞 𠡋 𣲝 󰠓,,401,,,
浪,trăng,1,1,1,REVIEW,True,dằng khi lang là láng lãng lăng lảng lắng lẳng lặng lửng,21, 妄 月 疩 綾 臻 菱 蓤 蔆 䏧 䔖 𢁋 𣈘 𣎞 𦝄 𧁽 𧅊 𪩮 󰊂 󱏲,,401,,,
浪,tràng,1,1,1,REVIEW,True,dằng khi lang là láng lãng lăng lảng lắng lẳng lặng lửng,38,仧 仩 兏 噇 场 場 塲 壯 幢 揚 撞 橦 肠 脹 腸 膓 觞 觴 長 镸,,401,,,
浩,trên,1,1,1,REVIEW,True,hạo,9, 珕 蓮 連 𨑗 𨕭 𨖲 𬨺 󰓱,,0,,,
浦,pho,1,1,1,REVIEW,True,bồ bổ phố phổ,27,ㇴ 仅 付 副 匕 咐 哺 堡 夫 孚 帙 甫 疈 福 罷 舖 舗 鋪 餔 㕮,哺,0,,,
涵,dòng,1,1,1,REVIEW,True,hàm hám ngấm yêm,7,匇 同 用 𡛾 𣳔 𨦩 𬗝,,0,,,
涵,sa,1,1,1,REVIEW,True,hàm hám ngấm yêm,51,ヌ 剎 娑 差 扠 抄 挱 挲 桫 桬 楂 沙 潭 猀 痧 砂 紇 紗 纱 耶,,0,,,
涵,đòi,1,1,1,REVIEW,True,hàm hám ngấm yêm,12,堆 墜 璳 隊 隧 頺 𠐬 𠸌 𠼲 𠾕 𡡦 𢢊,,0,,,
涸,muôn,1,1,1,REVIEW,True,hạc hạo hạt,34,    𲈦 𰿘 万 卍 怺 獴 萬 鎽 門 閍 门 闷 闹 㸘 𠂍 𠃡,,0,,,
混,hôn,1,1,1,REVIEW,True,côn cổn hỏn hồn hổn hỗn hộn kon xổn,32,婚 怋 惛 惽 昏 昬 殙 涽 湣 焄 閽 阍 㖧 㛰 䫒 𡕼 𡕽 𡖀 𡝪 𣄼,泯,4,,,gold/stt11_page_0294_c01_012.png
深,đòi,1,1,1,REVIEW,True,thum thâm thăm thẫm thẳm tình,12,堆 墜 璳 隊 隧 頺 𠐬 𠸌 𠼲 𠾕 𡡦 𢢊,,0,,,
深,rất,1,1,1,REVIEW,True,thum thâm thăm thẫm thẳm tình,14,功 叱 悉 慄 栗 秩 窒 㗌 㩫 𡂒 𢢙 𫇐 󰉩 󱳏,,0,,,
深,quở,1,1,1,REVIEW,True,thum thâm thăm thẫm thẳm tình,6,圭 輠 過 𠵩 𨒵 𨓺,,0,,,
深,càng,1,1,1,REVIEW,True,thum thâm thăm thẫm thẳm tình,17,乾 亘 岡 強 强 彊 犟 綱 𢏟 𣚦 𥆁 𧈧 𧖑 𪨈 𫋙 𮜓 󱢥,,0,,,
淮,răng,1,1,1,REVIEW,True,choài hoài,16, 𲎩 凌 夌 浪 淩 齿 𦝄 𦢠 𪘵 𪤽 𫆢 𬹸 󰌻 󰛈 󱆋,,0,,,
淮,năn,1,1,1,REVIEW,True,choài hoài,19,𱔪 唯 噒 熊 竜 而 耐 能 螚 䏻 䕼 𡅧 𡅨 𢟒 𦝕 𦧴 𮥷 󱋔 󱲆,,0,,,
淨,phải,1,1,1,REVIEW,True,gianh tĩnh tạnh tịnh,30,仕 伂 塊 折 拜 拝 朝 沛 派 芾 霈 㳈 𡴬 𢪙 𢫶 𢮠 𢰛 𢱭 𢳎 𢴽,,0,,,
淨,bão,1,1,1,REVIEW,True,gianh tĩnh tạnh tịnh,75,保 勽 抔 抱 拋 捊 暴 曓 曝 緥 菢 虣 袌 褓 褴 趵 跑 雹 飹 飽,,0,,,
淦,hiểm,1,1,1,REVIEW,True,cam gâm hàm ngấm,12,儉 崄 嶮 猃 獫 玁 礆 险 険 險 𡽗 󰍪,,0,,,
淡,nhặm,1,1,1,REVIEW,True,dạm dầm dặm rườm rợm rợn vạm vịm đàm đươm đượm đạm,7,任 仼 妊 賃 𢓩 𤶄 𧹱,,0,,,
淜,dòng,1,1,1,REVIEW,True,băng bằng phanh phùng,7,匇 同 用 𡛾 𣳔 𨦩 𬗝,𣳔,0,,,
淘,ao,1,1,1,REVIEW,True,rào rệu thao đào,31,  傉 凹 刀 呦 坳 幼 拗 泑 爊 釉 鏕 鏖 㓜 㘭 䆟 䥝 䫜 𠕄,,0,,,
淖,rước,1,1,1,REVIEW,True,at giạt náo trát xước,10,𱔉 卓 啅 掉 綽 趠 連 逴 󰡧 󱫚,卓 掉,0,,,
淒,nước,1,1,1,REVIEW,True,thiến thê,13, 匿 國 娘 搩 於 渃 珠 箸 著 𣋐 𣥧 𫭔,,0,,,
淑,về,1,1,1,REVIEW,True,thúc thục thực,23,𱸳 揮 撝 皮 米 耒 衛 衞 還 駆 䘙 𠀄 𡗅 𢠿 𧗱 𩤸 𬩍 󰓟 󰡲 󱘌,,0,,,
淆,le,1,1,1,REVIEW,True,hào hầu,15,囄 离 藜 離 魑 黎 䅻 𠲥 𠻗 𨾫 𩀌 𪅆 𫤡 󰌑 󱪏,,1,,,
淆,hãm,1,1,1,REVIEW,True,hào hầu,17,埳 膁 臽 薟 豃 豏 陥 陷 餡 饀 馅 䧟 䭑 𤑃 𨢝 𨺂 𨺻,,1,,,
淂,ra,1,1,1,REVIEW,True,đắc,37,    𱜂 出 加 囉 囖 威 廾 歯 羅 群 蔞 𠚢 𦉼 𦋦 𪜀 𪞷,,0,,,
淂,một,1,1,1,REVIEW,True,đắc,37,        𱥺 刎 圽 堆 墓 更 歾 歿 殁 殳 沒 没,,0,,,
淂,bảo,1,1,1,REVIEW,True,đắc,64,保 包 呆 堡 宝 寚 寳 寶 泡 煲 珤 箔 緥 脬 葆 褓 褴 靌 駂 鮑,,0,,,
涿,đòi,1,1,1,REVIEW,True,trác trục,12,堆 墜 璳 隊 隧 頺 𠐬 𠸌 𠼲 𠾕 𡡦 𢢊,,0,,,
涿,sa,1,1,1,REVIEW,True,trác trục,51,ヌ 剎 娑 差 扠 抄 挱 挲 桫 桬 楂 沙 潭 猀 痧 砂 紇 紗 纱 耶,,0,,,
涸,vua,1,1,1,REVIEW,True,hạc hạo hạt,15,君 噖 𠀹 𠁈 𠱩 𠱭 𠱰 𠺞 𢁨 𢂜 𢃊 𤤰 𪻟 𪼀 󰯯,,0,,,
涸,thịt,1,1,1,REVIEW,True,hạc hạo hạt,8, 舌 䏦 𠯑 𡶀 𢀛 𦧘 𬚸,,0,,,
浦,chúa,1,1,1,REVIEW,True,bồ bổ phố phổ,2,主 炷,,0,,,
